date,cash,market_value,total_value,positions,benchmark_price,strategy_nav,benchmark_nav
2025-01-16,901785.0,200583.0,1102368.0,1,3800.384,1.102368,0.9152609398153913
2025-01-17,901785.0,201790.0,1103575.0,1,3812.343,1.103575,0.9181410712913821
2025-01-20,901785.0,202606.0,1104391.0,1,3829.676,1.104391,0.92231544363634
2025-01-21,901785.0,201110.0,1102895.0,1,3832.615,1.102895,0.9230232541897254
2025-01-22,901785.0,198033.0,1099818.0,1,3797.017,1.099818,0.9144500523933943
2025-01-23,901785.0,198118.0,1099903.0,1,3803.744,1.099903,0.916070141400752
2025-01-24,901785.0,195279.0,1097064.0,1,3832.864,1.097064,0.923083221807212
2025-01-27,901785.0,196435.0,1098220.0,1,3817.08,1.09822,0.9192819010264578
2025-02-05,901785.0,193477.0,1095262.0,1,3795.085,1.095262,0.9139847614818118
2025-02-06,901785.0,194225.0,1096010.0,1,3842.831,1.09601,0.9254836123433106
2025-02-07,901785.0,196350.0,1098135.0,1,3892.703,1.098135,0.937494475874594
2025-02-10,901785.0,196707.0,1098492.0,1,3901.062,1.098492,0.9395076056519841
2025-02-11,901785.0,194276.0,1096061.0,1,3883.135,1.096061,0.9351901780267572
2025-02-12,901785.0,197166.0,1098951.0,1,3919.862,1.098951,0.9440352811891217
2025-02-13,901785.0,204765.0,1106550.0,1,3905.14,1.10655,0.9404897259094547
2025-02-14,901785.0,203762.0,1105547.0,1,3939.009,1.105547,0.9486465260566523
2025-02-17,901785.0,204833.0,1106618.0,1,3947.398,1.106618,0.9506668808481974
2025-02-18,901785.0,201926.0,1103711.0,1,3912.783,1.103711,0.9423304186823452
2025-02-19,901785.0,202300.0,1104085.0,1,3940.16,1.104085,0.9489237257663994
2025-02-20,901785.0,200600.0,1102385.0,1,3928.896,1.102385,0.9462109737849995
2025-02-21,901785.0,202436.0,1104221.0,1,3978.444,1.104221,0.9581438071634089
2025-02-24,901785.0,207145.0,1108930.0,1,3969.717,1.10893,0.9560420505457173
2025-02-25,901785.0,203830.0,1105615.0,1,3925.651,1.105615,0.9454294680872328
2025-02-26,901785.0,206686.0,1108471.0,1,3959.941,1.108471,0.9536876592664058
2025-02-27,901785.0,217226.0,1119011.0,1,3968.116,1.119011,0.9556564756236452
2025-02-28,901785.0,214982.0,1116767.0,1,3890.049,1.116767,0.9368553029556811
2025-03-03,901785.0,212500.0,1114285.0,1,3888.474,1.114285,0.9364759897125432
2025-03-04,901785.0,209916.0,1111701.0,1,3885.221,1.111701,0.9356925573443353
2025-03-05,901785.0,210341.0,1112126.0,1,3902.571,1.112126,0.9398710238639809
2025-03-06,901785.0,214506.0,1116291.0,1,3956.237,1.116291,0.9527956108520677
2025-03-07,901785.0,223397.0,1125182.0,1,3944.014,1.125182,0.9498518992515127
2025-03-10,901785.0,224604.0,1126389.0,1,3928.802,1.126389,0.9461883354073138
2025-03-11,901785.0,232611.0,1134396.0,1,3941.416,1.134396,0.9492262130256891
2025-03-12,901785.0,230826.0,1132611.0,1,3927.232,1.132611,0.9458102263332018
2025-03-13,901785.0,229942.0,1131727.0,1,3911.579,1.131727,0.9420404547809244
2025-03-14,901785.0,244137.0,1145922.0,1,4006.557,1.145922,0.9649143679280657
2025-03-17,901785.0,242998.0,1144783.0,1,3996.788,1.144783,0.9625616624853904
2025-03-18,901785.0,243729.0,1145514.0,1,4007.723,1.145514,0.9651951801448905
2025-03-19,901785.0,236334.0,1138119.0,1,4010.168,1.138119,0.9657840187985235
2025-03-20,901785.0,229772.0,1131557.0,1,3974.992,1.131557,0.9573124488679728
2025-03-21,901785.0,222156.0,1123941.0,1,3914.696,1.123941,0.9427911337516295
2025-03-24,901785.0,225675.0,1127460.0,1,3934.849,1.12746,0.9476446574271581
2025-03-25,901785.0,223686.0,1125471.0,1,3932.295,1.125471,0.9470295678887618
2025-03-26,901785.0,224587.0,1126372.0,1,3919.357,1.126372,0.9439136601175124
2025-03-27,901785.0,228004.0,1129789.0,1,3932.412,1.129789,0.9470577454439663
2025-03-28,901785.0,224910.0,1126695.0,1,3915.166,1.126695,0.942904325640058
2025-03-31,901785.0,220524.0,1122309.0,1,3887.306,1.122309,0.9361946958281082
2025-04-01,901785.0,222513.0,1124298.0,1,3887.684,1.124298,0.9362857310064614
2025-04-02,901785.0,220507.0,1122292.0,1,3884.386,1.122292,0.9354914611170209
2025-04-03,901785.0,225386.0,1127171.0,1,3861.503,1.127171,0.9299804611533868
2025-04-07,901785.0,213452.0,1115237.0,1,3589.441,1.115237,0.8644587344520706
2025-04-08,901785.0,219300.0,1121085.0,1,3650.759,1.121085,0.8792261817172944
2025-04-09,901785.0,223839.0,1125624.0,1,3686.794,1.125624,0.8879046278864834
2025-04-10,901785.0,225760.0,1127545.0,1,3735.115,1.127545,0.8995419581859531
2025-04-11,901785.0,221289.0,1123074.0,1,3750.517,1.123074,0.9032512804531336
2025-04-14,901785.0,220099.0,1121884.0,1,3759.142,1.121884,0.9053284720226981
2025-04-15,901785.0,221357.0,1123142.0,1,3761.235,1.123142,0.9058325371769125
2025-04-16,901785.0,222700.0,1124485.0,1,3772.82,1.124485,0.908622596809771
2025-04-17,901785.0,224961.0,1126746.0,1,3772.222,1.126746,0.9084785781942811
