time,code,name,direction,price,quantity,reason,pnl
2022-03-09,002027,分众传媒,SELL,7.03,1700,时间止损 225天,-373.9999999999996
2022-03-09,000807,云铝股份,SELL,14.53,18200,移动止盈 回撤11.7%,69888.0
2022-03-10,002027,分众传媒,SELL,6.93,900,时间止损 226天,-288.0000000000002
2022-03-11,002027,分众传媒,SELL,6.79,400,时间止损 227天,-184.0
2022-03-14,002027,分众传媒,SELL,6.17,500,硬止损 -14.9%,-540.0
2022-03-14,002027,分众传媒,BUY,6.17,32400,入场: 深度价值信号,0.0
2022-03-15,002027,分众传媒,SELL,5.66,32400,硬止损 -8.3%,-16523.999999999993
2022-03-15,000807,云铝股份,BUY,12.14,16400,入场: 深度价值信号,0.0
2022-03-15,002027,分众传媒,BUY,5.66,35300,入场: 深度价值信号,0.0
2022-04-25,000807,云铝股份,SELL,10.27,16400,硬止损 -15.4%,-30668.000000000015
2022-04-25,000807,云铝股份,BUY,10.27,19400,入场: 深度价值信号,0.0
2022-04-26,002027,分众传媒,SELL,5.11,35300,硬止损 -9.7%,-19414.999999999993
2022-04-26,000807,云铝股份,SELL,9.31,19400,硬止损 -9.3%,-18623.99999999998
2022-04-26,000807,云铝股份,BUY,9.31,21400,入场: 深度价值信号,0.0
2022-04-26,002027,分众传媒,BUY,5.11,39100,入场: 深度价值信号,0.0
2022-05-20,000807,云铝股份,SELL,11.35,21400,移动止盈 回撤31.0%,43655.99999999998
2022-05-20,000807,云铝股份,BUY,11.35,17600,入场: 深度价值信号,0.0
2022-05-31,002027,分众传媒,SELL,6.42,39100,移动止盈 回撤12.4%,51220.999999999985
2022-05-31,002027,分众传媒,BUY,6.42,31100,入场: 深度价值信号,0.0
2022-06-21,000807,云铝股份,SELL,10.37,17600,硬止损 -8.6%,-17248.000000000007
2022-06-21,000807,云铝股份,BUY,10.37,19200,入场: 深度价值信号,0.0
2022-07-13,000807,云铝股份,SELL,9.51,19200,硬止损 -8.3%,-16511.99999999999
2022-07-13,000807,云铝股份,BUY,9.51,21000,入场: 深度价值信号,0.0
2022-08-02,002027,分众传媒,SELL,5.89,31100,硬止损 -8.3%,-16483.000000000007
